compare,n_ng,n_other,U,p_raw,cliffs_delta,ps_from_delta,p_fdr,sig_fdr_0.05
ng > uk,999,1000,778730.5,5.861585583171841e-109,0.55902002002002,0.7795100100100101,2.9307927915859204e-108,True
ng > us,999,1000,732254.0,2.627874205511926e-76,0.465973973973974,0.7329869869869869,6.569685513779815e-76,True
ng > br,999,996,641983.0,4.123324072880114e-31,0.29041290286270205,0.645206451431351,6.872206788133523e-31,True
ng > kr,999,997,640885.0,9.961564360321749e-31,0.2869137944363621,0.6434568972181811,1.2451955450402185e-30,True
ng > in,999,1000,514930.0,0.10892066970961284,0.03089089089089089,0.5154454454454455,0.10892066970961284,False
