country,n,median,q25,q75,iqr,mean,std
br,925,2.2,1.8333333333333333,3.0,1.1666666666666667,2.292972972972973,0.9295480160053666
in,934,2.5,2.0,3.1666666666666665,1.1666666666666665,2.543861527480371,0.8602130241537042
kr,915,2.0,1.3666666666666667,2.5,1.1333333333333333,1.919344262295082,0.8694219555054119
ng,986,3.0,2.3333333333333335,3.5,1.1666666666666665,2.8080121703853953,0.7988478967710163
uk,854,1.1666666666666667,0.16666666666666666,2.0,1.8333333333333333,1.3007220921155347,1.1106503306093845
us,894,2.0,0.8333333333333334,2.6666666666666665,1.833333333333333,1.769649515287099,1.1449264016966842
