compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
br,986,925,607066.0,3.499979202482179e-36,0.33121210459952843,4.374974003102724e-36
in,986,934,545935.5,1.7236823697740703e-12,0.1856255239303135,1.7236823697740703e-12
kr,986,915,700886.0,3.2667839241034395e-97,0.5537436681851937,8.166959810258599e-97
uk,986,854,718170.5,3.708194775678363e-151,0.7057790329246452,1.8540973878391816e-150
us,986,894,671310.0,6.1602368636088224e-86,0.5231359843173558,1.0267061439348038e-85
