compare,n_focal,n_other,U,p_raw,ps_lower,cliffs_delta,delta_lower,p_fdr,sig_fdr_0.05
us < ng,949,981,147484.0,4.012018058832457e-163,0.8415801170608259,-0.6831602341216517,0.6831602341216517,2.0060090294162284e-162,True
us < in,949,963,214900.5,1.2567967980844025e-100,0.7648500306930726,-0.5297000613861451,0.5297000613861451,3.141991995211006e-100,True
us < br,949,948,272162.0,8.12247941521351e-59,0.6974808036885374,-0.3949616073770747,0.3949616073770747,1.3537465692022516e-58,True
us < kr,949,951,330184.5,2.2189571902190015e-29,0.6341441929575545,-0.26828838591510906,0.26828838591510906,2.773696487773752e-29,True
us < uk,949,966,522281.0,0.9999999999982272,0.4302807575588993,0.13943848488220137,-0.13943848488220137,0.9999999999982272,False
