compare,n_focal,n_other,U,p_raw,ps_lower,cliffs_delta,delta_lower,p_fdr,sig_fdr_0.05
uk < ng,966,981,110902.0,8.804018607954416e-214,0.882971067255072,-0.765942134510144,0.765942134510144,4.402009303977208e-213,True
uk < in,966,963,169671.5,2.607951983225978e-152,0.8176081259177561,-0.6352162518355123,0.6352162518355123,6.5198799580649445e-152,True
uk < br,966,948,225341.0,1.3038892213207325e-103,0.7539322186405291,-0.5078644372810581,0.5078644372810581,2.173148702201221e-103,True
uk < kr,966,951,274368.5,1.0077707736200392e-69,0.701340313019095,-0.40268062603819016,0.40268062603819016,1.2597134670250488e-69,True
uk < us,966,949,394453.0,1.7741654266633234e-12,0.5697192424411006,-0.13943848488220137,0.13943848488220137,1.7741654266633234e-12,True
