age_bin,YouTube,Instagram,X,Facebook,TikTok
18-24,50.58479532163743,44.66374269005848,27.266081871345026,28.50877192982456,29.45906432748538
25-49,51.02706227583958,38.180632539941314,24.160417345940658,40.7238343658298,23.37789370720574
50+,43.89776357827476,21.405750798722046,14.249201277955272,34.69648562300319,12.268370607028753
