item,column,H,p,p_fdr_bh
Q20_A,Q20_grid_1,983.2584526263697,2.5309560360993067e-210,1.0123824144397227e-209
Q20_B,Q20_grid_2,878.295885799683,1.3250562484320412e-187,3.53348332915211e-187
Q20_C,Q20_grid_3,857.9070102304007,3.422604024544291e-183,4.563472032725722e-183
Q20_D,Q20_grid_4,868.6532784155415,1.6177997854714127e-185,3.2355995709428255e-185
Q20_E,Q20_grid_5,864.4463857393864,1.316087007083814e-184,2.1057392113341024e-184
Q20_F,Q20_grid_6,839.3617586712982,3.525362849498535e-179,4.0289861137126116e-179
Q21_A,Q21_grid_1,1163.4835452651723,2.3841674732127536e-249,1.907333978570203e-248
Q21_F,Q21_grid_6,479.9473430982506,1.6985550908225265e-101,1.6985550908225265e-101
