country,n,median,q25,q75,iqr,mean,std
br,914,2.0,2.0,3.0,1.0,2.3041575492341355,1.0933655354953813
in,932,3.0,2.0,3.0,1.0,2.507510729613734,1.0755297073232355
kr,924,2.0,1.0,3.0,2.0,1.9404761904761905,1.0603287529997043
ng,984,3.0,2.0,4.0,2.0,2.858739837398374,0.9501110056677163
uk,856,1.0,0.0,2.0,2.0,1.3761682242990654,1.219180930964605
us,896,2.0,1.0,3.0,2.0,1.8024553571428572,1.2772327796544305
