country,n,median,q25,q75,iqr,mean,std
br,919,2.0,2.0,3.0,1.0,2.3503808487486397,1.13239934924424
in,925,3.0,2.0,3.0,1.0,2.6,1.067018340296051
kr,922,2.0,1.0,3.0,2.0,1.9696312364425164,1.0258068906980888
ng,981,3.0,2.0,4.0,2.0,2.941896024464832,0.9156730954601024
uk,869,2.0,0.0,2.0,2.0,1.4948216340621403,1.2082791860413835
us,892,2.0,1.0,3.0,2.0,1.9327354260089686,1.239983040668454
