item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q21_A,Q21_grid_1,br,983,934,656610.5,6.2633905799543535e-65,0.4303338771971481,7.829238224942942e-65
Q21_A,Q21_grid_1,in,983,941,628967.0,1.2270902146058153e-46,0.3599242380835521,1.2270902146058153e-46
Q21_A,Q21_grid_1,kr,983,947,751720.0,2.9609047049453413e-130,0.6150374744467995,7.402261762363353e-130
Q21_A,Q21_grid_1,uk,983,958,800847.0,4.886096552600764e-168,0.700828489329032,2.443048276300382e-167
Q21_A,Q21_grid_1,us,983,946,743328.5,1.050619242549618e-122,0.5986968743480607,1.7510320709160298e-122
