item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q20_A,Q20_grid_1,br,978,909,555471.0,2.4907858716485383e-22,0.24965073194436016,3.1134823395606726e-22
Q20_A,Q20_grid_1,in,978,926,494365.0,0.00031969917684619394,0.0917617388154961,0.00031969917684619394
Q20_A,Q20_grid_1,kr,978,907,631358.0,1.5103415572209913e-60,0.42350678544291953,2.517235928701652e-60
Q20_A,Q20_grid_1,uk,978,843,680385.0,1.071505701410935e-132,0.6505105196893943,5.357528507054675e-132
Q20_A,Q20_grid_1,us,978,883,636506.0,1.520830182304979e-73,0.4741203417425721,3.8020754557624476e-73
