item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q20_C,Q20_grid_3,br,984,914,581761.0,8.139690558196786e-31,0.2936991869918699,1.0174613197745983e-30
Q20_C,Q20_grid_3,in,984,932,545332.5,6.490694994694513e-14,0.18926973202135455,6.490694994694513e-14
Q20_C,Q20_grid_3,kr,984,924,670512.0,2.291034630258228e-77,0.4749234505332067,5.7275865756455696e-77
Q20_C,Q20_grid_3,uk,984,856,687191.5,1.149818908991717e-127,0.6316947325431199,5.7490945449585845e-127
Q20_C,Q20_grid_3,us,984,896,647925.5,7.62922217067376e-74,0.4697787365708479,1.2715370284456266e-73
