item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q20_F,Q20_grid_6,br,983,914,586698.0,3.676865085577489e-33,0.30600515102475123,4.596081356971862e-33
Q20_F,Q20_grid_6,in,983,932,528335.0,1.312101011455891e-09,0.15337344295076383,1.312101011455891e-09
Q20_F,Q20_grid_6,kr,983,924,671425.0,1.6850499278598286e-78,0.4784342480171575,4.2126248196495713e-78
Q20_F,Q20_grid_6,uk,983,860,683611.5,6.039285945645464e-122,0.6172880834654237,3.019642972822732e-121
Q20_F,Q20_grid_6,us,983,898,635327.0,6.4781640884245846e-65,0.4394528816155263,1.0796940147374306e-64
