item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q20_B,Q20_grid_2,br,978,902,514288.5,1.345946474803402e-10,0.16598084692503368,1.6824330935042527e-10
Q20_B,Q20_grid_2,in,978,927,478103.5,0.032504983288439246,0.054710646079995096,0.032504983288439246
Q20_B,Q20_grid_2,kr,978,901,605410.5,3.751133261430313e-47,0.37409354296180797,6.251888769050522e-47
Q20_B,Q20_grid_2,uk,978,840,658339.5,4.224935292350672e-114,0.6027351738241309,2.1124676461753362e-113
Q20_B,Q20_grid_2,us,978,882,618824.5,6.4146139913238e-62,0.4347956633232706,1.6036534978309502e-61
