country,n,median,q25,q75,iqr,mean,std
br,902,2.0,2.0,3.0,1.0,2.261640798226164,1.1901616542187565
in,927,3.0,2.0,3.0,1.0,2.511326860841424,1.121954032449629
kr,901,2.0,1.0,3.0,2.0,1.7913429522752498,1.1741533474653822
ng,978,3.0,2.0,3.0,1.0,2.5991820040899793,1.1476821667109574
uk,840,1.0,0.0,2.0,2.0,1.0892857142857142,1.2535069144362216
us,882,2.0,0.0,3.0,3.0,1.5430839002267573,1.3403977300331695
