country,n,median,q25,q75,iqr,mean,std
br,935,2.0,1.0,3.0,2.0,1.797860962566845,0.9853290637881036
in,944,2.0,1.0,2.0,1.0,1.7023305084745763,0.9733211463627504
kr,948,1.0,1.0,2.0,1.0,1.3196202531645569,0.9029782140264977
ng,987,3.0,2.0,3.0,1.0,2.2948328267477205,0.8866851728528068
uk,950,2.0,1.0,3.0,2.0,1.7968421052631578,1.0202328947096435
us,944,2.0,1.0,3.0,2.0,1.715042372881356,1.0573914953547994
