country,n,median,q25,q75,iqr,mean,std
br,934,1.0,1.0,2.0,1.0,1.4389721627408993,0.9940991027153886
in,941,2.0,1.0,2.0,1.0,1.6099893730074388,0.9327755995071285
kr,947,1.0,0.0,2.0,2.0,1.0823653643083422,0.8865780364875884
ng,983,2.0,2.0,3.0,1.0,2.2238046795523907,0.839917420595641
uk,958,0.0,0.0,1.0,1.0,0.7776617954070981,0.9499722057319532
us,946,1.0,0.0,2.0,2.0,1.0570824524312896,0.9807229530579578
