country,n,median,q25,q75,iqr,mean,std
br,914,2.0,2.0,3.0,1.0,2.264770240700219,1.097605479865625
in,932,3.0,2.0,3.0,1.0,2.563304721030043,1.0736893548802993
kr,924,2.0,1.0,3.0,2.0,1.9372294372294372,1.0104327443395165
ng,983,3.0,2.0,4.0,2.0,2.849440488301119,0.9667155177871691
uk,860,1.0,0.0,2.0,2.0,1.386046511627907,1.2423608520775185
us,898,2.0,1.0,3.0,2.0,1.876391982182628,1.2561019448675217
