country,n,median,q25,q75,iqr,mean,std
br,909,2.0,2.0,3.0,1.0,2.2343234323432344,1.1229921430829741
in,926,3.0,2.0,3.0,1.0,2.5464362850971924,1.1167052115260934
kr,907,2.0,1.0,3.0,2.0,1.8533627342888643,1.103624994126405
ng,978,3.0,2.0,4.0,2.0,2.723926380368098,1.064674289913229
uk,843,1.0,0.0,2.0,2.0,1.1091340450771057,1.2242403567648459
us,883,2.0,0.0,3.0,3.0,1.6194790486976218,1.280476527104386
