item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q20_D,Q20_grid_4,br,986,912,576109.0,2.468227610039384e-28,0.2813356286253159,3.08528451254923e-28
Q20_D,Q20_grid_4,in,986,926,538532.5,1.2185642548657636e-12,0.1796522809615393,1.2185642548657636e-12
Q20_D,Q20_grid_4,kr,986,927,664088.5,7.373603334044639e-71,0.45311272595189167,1.8434008335111596e-70
Q20_D,Q20_grid_4,uk,986,855,693807.5,4.1767917841111526e-133,0.6459853148761017,2.0883958920555764e-132
Q20_D,Q20_grid_4,us,986,890,637721.5,1.0929008301135865e-68,0.4534300430749596,1.8215013835226442e-68
