item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q21_F,Q21_grid_6,br,987,935,593500.5,1.2404275842653812e-30,0.2862409180306551,1.5505344803317265e-30
Q21_F,Q21_grid_6,in,987,944,625312.5,7.385881564907388e-43,0.34226405131111215,1.846470391226847e-42
Q21_F,Q21_grid_6,kr,987,948,720093.0,9.867772348081527e-102,0.5391930540058738,4.933886174040764e-101
Q21_F,Q21_grid_6,uk,987,950,598795.5,4.47568026874815e-29,0.27722604383298677,4.4756802687481503e-29
Q21_F,Q21_grid_6,us,987,944,610087.5,1.5636222445930692e-35,0.3095828396270157,2.606037074321782e-35
