country,n,median,q25,q75,iqr,mean,std
br,912,2.0,2.0,3.0,1.0,2.3366228070175437,1.1282505415786757
in,926,3.0,2.0,3.0,1.0,2.5431965442764577,1.0874080952673237
kr,927,2.0,1.0,3.0,2.0,2.016181229773463,1.0468286373910418
ng,986,3.0,2.0,4.0,2.0,2.8813387423935093,0.9670283293190661
uk,855,1.0,0.0,2.0,2.0,1.3356725146198831,1.2293550356324128
us,890,2.0,1.0,3.0,2.0,1.8561797752808988,1.2874714326167478
