item,column,compare_to,n_ng,n_other,u,p,cliffs_delta,p_fdr_bh
Q20_E,Q20_grid_5,br,981,919,587209.5,8.307523673955681e-33,0.3026824130736441,1.0384404592444601e-32
Q20_E,Q20_grid_5,in,981,925,536985.0,3.5041201759778413e-13,0.183535829407389,3.5041201759778413e-13
Q20_E,Q20_grid_5,kr,981,922,683242.5,3.130741460304616e-89,0.5107929179353485,7.826853650761539e-89
Q20_E,Q20_grid_5,uk,981,869,695960.5,2.5828781745845374e-129,0.6327729741967345,1.2914390872922687e-128
Q20_E,Q20_grid_5,us,981,892,640908.5,1.6227958314188585e-72,0.4648466605413164,2.7046597190314305e-72
