country,age_bin,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
br,50+,K determine trustworthy,3.6036036036036037,11.26126126126126,31.98198198198198,39.189189189189186,13.963963963963963
br,50+,L overwhelmed,6.334841628959276,18.552036199095024,31.674208144796378,32.126696832579185,11.312217194570136
br,50+,M too stressful,6.306306306306306,16.666666666666664,34.68468468468468,28.82882882882883,13.513513513513514
br,50+,N excited new ways,2.2522522522522523,3.153153153153153,43.69369369369369,36.03603603603604,14.864864864864865
br,50+,O excited traditional ways,5.8558558558558556,13.963963963963963,35.13513513513514,32.432432432432435,12.612612612612612
br,50+,P hopeful view,8.108108108108109,24.774774774774773,33.33333333333333,24.324324324324326,9.45945945945946
in,18-29,A impact my life,6.091370558375635,9.898477157360407,41.370558375634516,33.756345177664976,8.883248730964468
in,18-29,B issues I care about,3.807106598984772,7.614213197969544,37.055837563451774,36.04060913705584,15.48223350253807
in,18-29,C profit over truth,3.0379746835443036,7.848101265822785,31.39240506329114,34.177215189873415,23.544303797468356
in,18-29,D written to manipulate,4.050632911392405,8.860759493670885,37.21518987341772,32.65822784810127,17.21518987341772
in,18-29,E interested in politics,10.886075949367088,15.949367088607595,30.632911392405067,28.860759493670884,13.670886075949367
in,18-29,F mainstream accurate,7.1065989847715745,17.766497461928935,37.309644670050766,28.426395939086298,9.390862944162437
in,18-29,G biased against my views,6.075949367088607,9.873417721518987,44.81012658227848,27.59493670886076,11.645569620253164
in,18-29,H trust mainstream,6.075949367088607,13.670886075949367,35.949367088607595,33.67088607594937,10.632911392405063
in,18-29,I confident fact-check,3.2994923857868024,9.137055837563452,30.456852791878177,40.609137055837564,16.49746192893401
in,18-29,J distinguish fact/opinion,5.0761421319796955,8.121827411167512,35.27918781725889,37.309644670050766,14.213197969543149
in,18-29,K determine trustworthy,4.810126582278481,8.860759493670885,32.65822784810127,37.21518987341772,16.455696202531644
in,18-29,L overwhelmed,5.063291139240507,10.126582278481013,35.189873417721515,33.41772151898734,16.20253164556962
in,18-29,M too stressful,5.063291139240507,8.60759493670886,28.860759493670884,38.9873417721519,18.48101265822785
in,18-29,N excited new ways,5.32994923857868,6.598984771573605,30.96446700507614,40.609137055837564,16.49746192893401
in,18-29,O excited traditional ways,6.598984771573605,10.152284263959391,35.53299492385787,30.96446700507614,16.751269035532996
in,18-29,P hopeful view,6.8354430379746836,13.164556962025317,34.68354430379747,32.151898734177216,13.164556962025317
in,30-49,A impact my life,4.189944134078212,10.335195530726256,33.24022346368715,32.402234636871505,19.832402234636874
in,30-49,B issues I care about,3.35195530726257,8.100558659217876,31.843575418994412,36.312849162011176,20.391061452513966
in,30-49,C profit over truth,3.072625698324022,5.58659217877095,33.24022346368715,34.357541899441344,23.743016759776538
in,30-49,D written to manipulate,2.801120448179272,7.002801120448179,37.53501400560224,33.33333333333333,19.327731092436977
in,30-49,E interested in politics,9.217877094972067,11.731843575418994,27.6536312849162,31.564245810055862,19.832402234636874
in,30-49,F mainstream accurate,3.6312849162011176,10.335195530726256,34.07821229050279,30.726256983240223,21.22905027932961
in,30-49,G biased against my views,2.528089887640449,12.07865168539326,38.20224719101123,26.96629213483146,20.224719101123593
in,30-49,H trust mainstream,5.322128851540616,8.683473389355742,33.61344537815126,31.652661064425768,20.72829131652661
in,30-49,I confident fact-check,2.2346368715083798,5.865921787709497,36.592178770949715,32.68156424581006,22.62569832402235
in,30-49,J distinguish fact/opinion,2.793296089385475,5.307262569832402,36.312849162011176,33.24022346368715,22.3463687150838
in,30-49,K determine trustworthy,1.9553072625698324,6.70391061452514,34.357541899441344,36.592178770949715,20.391061452513966
in,30-49,L overwhelmed,3.6312849162011176,7.262569832402235,38.547486033519554,29.329608938547487,21.22905027932961
in,30-49,M too stressful,2.793296089385475,8.100558659217876,32.402234636871505,32.960893854748605,23.743016759776538
in,30-49,N excited new ways,2.2346368715083798,4.748603351955307,36.03351955307262,34.91620111731844,22.067039106145252
in,30-49,O excited traditional ways,2.5210084033613445,7.002801120448179,37.53501400560224,28.291316526610643,24.649859943977592
in,30-49,P hopeful view,4.748603351955307,7.262569832402235,38.547486033519554,29.608938547486037,19.832402234636874
in,50+,A impact my life,1.834862385321101,12.844036697247708,39.44954128440367,33.02752293577982,12.844036697247708
in,50+,B issues I care about,1.36986301369863,5.0228310502283104,32.42009132420091,46.57534246575342,14.61187214611872
in,50+,C profit over truth,0.91324200913242,6.8493150684931505,28.767123287671232,39.726027397260275,23.74429223744292
in,50+,D written to manipulate,1.36986301369863,6.8493150684931505,33.789954337899545,40.182648401826484,17.80821917808219
in,50+,E interested in politics,10.95890410958904,11.87214611872146,30.59360730593607,30.59360730593607,15.981735159817351
in,50+,F mainstream accurate,2.28310502283105,11.87214611872146,40.63926940639269,33.789954337899545,11.415525114155251
in,50+,G biased against my views,3.65296803652968,12.32876712328767,44.29223744292237,26.48401826484018,13.24200913242009
in,50+,H trust mainstream,4.5662100456621,7.30593607305936,33.33333333333333,42.00913242009132,12.785388127853881
in,50+,I confident fact-check,1.36986301369863,6.392694063926941,37.89954337899543,38.81278538812785,15.52511415525114
in,50+,J distinguish fact/opinion,0.45662100456621,3.1963470319634704,37.44292237442922,45.662100456621005,13.24200913242009
in,50+,K determine trustworthy,0.9216589861751152,4.147465437788019,32.71889400921659,47.465437788018434,14.746543778801843
in,50+,L overwhelmed,4.587155963302752,8.715596330275229,33.94495412844037,38.99082568807339,13.761467889908257
in,50+,M too stressful,3.211009174311927,5.5045871559633035,35.321100917431195,36.23853211009174,19.724770642201836
in,50+,N excited new ways,0.91324200913242,2.73972602739726,36.5296803652968,42.00913242009132,17.80821917808219
in,50+,O excited traditional ways,2.73972602739726,5.0228310502283104,31.05022831050228,44.74885844748858,16.43835616438356
in,50+,P hopeful view,2.293577981651376,9.63302752293578,33.02752293577982,40.825688073394495,14.220183486238533
kr,18-29,A impact my life,3.314917127071823,7.734806629834254,45.58011049723757,35.635359116022094,7.734806629834254
kr,18-29,B issues I care about,1.6574585635359116,4.696132596685083,28.45303867403315,50.552486187845304,14.64088397790055
kr,18-29,C profit over truth,3.867403314917127,12.70718232044199,37.84530386740331,33.14917127071823,12.430939226519337
kr,18-29,D written to manipulate,3.0386740331491713,14.64088397790055,43.92265193370166,29.2817679558011,9.116022099447514
kr,18-29,E interested in politics,7.756232686980609,14.40443213296399,39.88919667590028,29.362880886426595,8.587257617728532
kr,18-29,F mainstream accurate,8.011049723756907,25.96685082872928,44.47513812154696,18.50828729281768,3.0386740331491713
kr,18-29,G biased against my views,7.202216066481995,22.71468144044321,48.476454293628805,16.897506925207757,4.7091412742382275
kr,18-29,H trust mainstream,6.353591160220995,14.917127071823206,42.5414364640884,32.04419889502763,4.143646408839778
kr,18-29,I confident fact-check,3.591160220994475,20.994475138121548,49.72375690607735,21.54696132596685,4.143646408839778
kr,18-29,J distinguish fact/opinion,2.7624309392265194,20.165745856353592,45.027624309392266,25.96685082872928,6.077348066298343
kr,18-29,K determine trustworthy,4.1551246537396125,16.897506925207757,49.03047091412742,24.653739612188367,5.263157894736842
kr,18-29,L overwhelmed,5.524861878453039,18.50828729281768,37.29281767955801,30.662983425414364,8.011049723756907
kr,18-29,M too stressful,3.314917127071823,18.23204419889503,36.46408839779006,29.55801104972376,12.430939226519337
kr,18-29,N excited new ways,4.143646408839778,7.18232044198895,45.58011049723757,35.91160220994475,7.18232044198895
kr,18-29,O excited traditional ways,4.41988950276243,15.469613259668508,48.34254143646409,23.480662983425415,8.287292817679557
kr,18-29,P hopeful view,8.56353591160221,25.41436464088398,41.71270718232044,19.337016574585636,4.972375690607735
kr,30-49,A impact my life,1.8072289156626504,10.542168674698797,49.6987951807229,33.13253012048193,4.819277108433735
kr,30-49,B issues I care about,1.8072289156626504,4.518072289156627,28.313253012048197,54.81927710843374,10.542168674698797
kr,30-49,C profit over truth,3.0120481927710845,9.63855421686747,42.168674698795186,33.734939759036145,11.44578313253012
kr,30-49,D written to manipulate,3.0120481927710845,16.566265060240966,45.48192771084337,28.012048192771083,6.927710843373494
kr,30-49,E interested in politics,8.157099697885197,11.48036253776435,40.483383685800604,30.211480362537763,9.667673716012084
kr,30-49,F mainstream accurate,7.228915662650602,21.385542168674696,51.204819277108435,17.16867469879518,3.0120481927710845
kr,30-49,G biased against my views,3.313253012048193,21.987951807228914,56.62650602409639,16.265060240963855,1.8072289156626504
kr,30-49,H trust mainstream,5.120481927710843,14.759036144578314,50.0,26.506024096385545,3.614457831325301
kr,30-49,I confident fact-check,3.91566265060241,20.481927710843372,53.31325301204819,20.481927710843372,1.8072289156626504
kr,30-49,J distinguish fact/opinion,3.0211480362537766,19.939577039274926,48.94259818731118,25.075528700906347,3.0211480362537766
kr,30-49,K determine trustworthy,3.313253012048193,18.373493975903614,51.80722891566265,24.397590361445783,2.108433734939759
kr,30-49,L overwhelmed,2.108433734939759,16.867469879518072,40.06024096385542,33.734939759036145,7.228915662650602
kr,30-49,M too stressful,2.4096385542168677,16.566265060240966,43.674698795180724,29.819277108433734,7.530120481927711
kr,30-49,N excited new ways,1.8072289156626504,7.83132530120482,46.08433734939759,38.855421686746986,5.421686746987952
kr,30-49,O excited traditional ways,2.710843373493976,12.650602409638553,56.325301204819276,24.096385542168676,4.216867469879518
