age_bin,Ask someone you know,Use a search engine,Use an AI tool,Visit a news site/video,Look at comments,See what's trending,Other,Do nothing,Don't know
18-29,6.755514705882352,40.39522058823529,8.915441176470589,19.393382352941178,12.45404411764706,9.099264705882353,1.0569852941176472,1.9301470588235294,0.0
30-49,7.007299270072993,40.04866180048662,8.223844282238444,22.287104622871045,12.068126520681265,7.250608272506083,0.9732360097323601,2.1411192214111923,0.0
50+,7.8755790866975515,45.268034414295165,4.963600264725347,22.56783587028458,11.118464592984779,3.8385175380542687,1.257445400397088,3.1105228325612178,0.0
