country,age_bin,Ask someone you know,Use a search engine,Use an AI tool,Visit a news site/video,Look at comments,See what's trending,Other,Do nothing,Don't know
br,18-29,6.609195402298851,31.896551724137932,7.183908045977011,25.57471264367816,14.655172413793101,9.195402298850574,1.4367816091954022,3.4482758620689653,0.0
br,30-49,12.727272727272727,28.57142857142857,7.2727272727272725,25.71428571428571,14.805194805194805,8.051948051948052,0.7792207792207793,2.0779220779220777,0.0
br,50+,6.220095693779904,37.79904306220095,5.263157894736842,23.923444976076556,17.703349282296653,4.784688995215311,0.9569377990430622,3.349282296650718,0.0
in,18-29,8.533333333333333,29.333333333333332,12.0,18.933333333333334,14.666666666666666,15.2,0.5333333333333333,0.8,0.0
in,30-49,9.06344410876133,30.513595166163142,10.574018126888216,20.84592145015106,14.803625377643503,12.990936555891238,0.0,1.2084592145015105,0.0
in,50+,18.181818181818183,27.27272727272727,11.961722488038278,21.5311004784689,11.483253588516746,7.177033492822966,0.0,2.3923444976076556,0.0
kr,18-29,5.681818181818182,41.76136363636363,9.090909090909092,17.329545454545457,11.363636363636363,10.795454545454545,0.5681818181818182,3.4090909090909087,0.0
kr,30-49,6.521739130434782,43.47826086956522,6.211180124223603,22.049689440993788,9.316770186335404,6.211180124223603,0.6211180124223602,5.590062111801243,0.0
kr,50+,9.731543624161073,41.61073825503356,5.369127516778524,25.16778523489933,10.06711409395973,4.3624161073825505,1.6778523489932886,2.013422818791946,0.0
ng,18-29,3.816793893129771,34.605597964376585,12.46819338422392,22.137404580152673,18.3206106870229,8.142493638676845,0.5089058524173028,0.0,0.0
ng,30-49,3.5398230088495577,34.95575221238938,13.053097345132745,25.88495575221239,14.601769911504425,7.300884955752212,0.4424778761061947,0.22123893805309736,0.0
ng,50+,4.10958904109589,34.93150684931507,9.58904109589041,23.28767123287671,18.493150684931507,9.58904109589041,0.0,0.0,0.0
uk,18-29,8.498583569405099,55.240793201133144,6.232294617563739,16.43059490084986,6.79886685552408,3.6827195467422094,1.41643059490085,1.69971671388102,0.0
uk,30-49,4.609929078014184,56.38297872340425,3.900709219858156,21.98581560283688,6.73758865248227,2.4822695035460995,2.8368794326241136,1.0638297872340425,0.0
uk,50+,5.182926829268292,57.3170731707317,1.524390243902439,21.341463414634145,8.231707317073171,0.6097560975609756,1.2195121951219512,4.573170731707317,0.0
us,18-29,7.605633802816901,50.70422535211267,5.915492957746479,15.774647887323944,8.169014084507042,7.323943661971831,1.971830985915493,2.535211267605634,0.0
us,30-49,5.30035335689046,54.77031802120141,5.6537102473498235,14.13427561837456,9.540636042402827,5.30035335689046,1.76678445229682,3.53356890459364,0.0
us,50+,4.984423676012461,57.63239875389408,1.2461059190031152,20.87227414330218,7.165109034267912,1.2461059190031152,2.4922118380062304,4.361370716510903,0.0
