age_bin,Delete apps,Turn off notifications,Check news sites less,Change mix in feeds,Unsubscribe newsletters/podcasts,Take a break from device,Talk to friend/colleague,Spend less time scrolling,Other,Don't know
18-29,13.684676705048716,30.77945084145261,31.488042515500442,29.317980513728966,15.721877767936226,40.56687333923826,29.40655447298494,41.674047829938,1.2843224092116916,6.023029229406554
30-49,14.15929203539823,30.507685142058687,34.32696786213321,24.73218444340941,17.18677224033535,38.984629715882626,27.806241266884022,41.08057755006986,1.4904517931998138,6.613879832324174
50+,17.507987220447284,33.73801916932908,34.888178913738024,16.67731629392971,20.12779552715655,34.760383386581466,22.30031948881789,42.93929712460064,2.619808306709265,7.859424920127796
