country,Matters to work,Affects someone you care about,Affects your community,Controversial,Not sure if true,Topic interests you,Recognize creator/publisher,Other,Don't know
br,20.9,24.0,19.900000000000002,13.8,34.2,63.9,17.299999999999997,0.3,8.3
in,36.199999999999996,34.4,36.6,32.300000000000004,33.7,61.8,29.299999999999997,0.8,6.1
kr,18.7,16.5,23.799999999999997,31.8,37.5,61.6,8.799999999999999,0.8,7.7
ng,49.8,40.9,48.9,33.900000000000006,33.1,83.8,31.2,1.3,0.7000000000000001
uk,27.800000000000004,47.099999999999994,46.400000000000006,33.6,43.3,84.3,18.099999999999998,2.9000000000000004,4.5
us,26.400000000000002,46.9,48.9,35.8,44.6,81.39999999999999,20.599999999999998,1.7000000000000002,5.0
