compare,n_focal,n_other,U,p_raw,ps_higher,cliffs_delta,ps_from_delta,p_fdr,sig_fdr_0.05
us > kr,1000,1000,687621.5,2.5432976625262075e-52,0.6876215,0.375243,0.6876215,1.2716488312631037e-51,True
us > br,1000,1000,617004.5,9.939139117650232e-22,0.6170045,0.234009,0.6170045,2.1468180209976697e-21,True
us > in,1000,999,616173.5,1.2880908125986019e-21,0.6167902902902903,0.2335805805805806,0.6167902902902903,2.1468180209976697e-21,True
us > ng,1000,999,567532.0,1.3554863054071146e-08,0.5681001001001001,0.1362002002002002,0.5681001001001001,1.694357881758893e-08,True
us > uk,1000,1000,451160.5,0.9999771463891218,0.4511605,-0.097679,0.4511605,0.9999771463891218,False
