compare,test,n_ng,n_other,ng_pct_ai_tool,other_pct_ai_tool,pct_point_diff_ng_minus_other,phi,p_raw,p_fdr,sig_fdr_0.05
ng vs uk,Chi-square,991,964,12.31079717457114,3.941908713692946,8.368888460878194,0.15076770518121263,2.6241911896352017e-11,1.3120955948176009e-10,True
ng vs us,Chi-square,991,959,12.31079717457114,4.275286757038582,8.035510417532558,0.1432923664875677,2.4897202722630093e-10,6.224300680657523e-10,True
ng vs br,Chi-square,991,942,12.31079717457114,6.794055201698514,5.516741972872627,0.09175171182696423,5.484787885634379e-05,9.141313142723966e-05,True
ng vs kr,Chi-square,991,972,12.31079717457114,6.995884773662551,5.3149124009085895,0.08815115655493207,9.399047194821674e-05,0.00011748808993527092,True
ng vs in,Chi-square,991,941,12.31079717457114,11.477151965993624,0.8336452085775168,0.011267931865261113,0.6204049155385423,0.6204049155385423,False
