country,pct_both_agree,both_yes,n_valid
br,28.67203219315895,285,994
in,39.81945837512538,397,997
kr,19.7,197,1000
ng,38.53853853853854,385,999
uk,15.215215215215217,152,999
us,21.82182182182182,218,999
