country,pct_both_disagree,both_yes,n_valid
br,5.331991951710262,53,994
in,3.4102306920762286,34,997
kr,3.5000000000000004,35,1000
ng,2.8028028028028027,28,999
uk,3.5035035035035036,35,999
us,3.8038038038038042,38,999
